machine_id,hoh_most_education,census_region,household_size,hoh_oldest_age,household_income,children,racial_background,connection_speed,country_of_origin,zip_code
1340219,99,3,6,7,1,1,1,0,0,36251
1468181,99,2,2,9,5,0,1,0,0,67441
1495568,99,2,1,8,6,0,1,1,0,48706
1699200,99,1,6,8,7,1,1,0,0,99999
1997555,4,3,5,5,6,1,1,0,0,36467
2191047,99,3,2,11,3,0,1,0,0,28403
2860202,99,2,4,10,5,0,1,0,0,65775
2938339,3,3,2,6,5,0,1,1,0,72076
3646209,99,3,2,6,4,0,1,0,1,30096
3899777,2,3,2,7,4,0,1,0,1,37813
4950150,99,2,3,8,3,0,1,0,0,65806
5833251,3,3,1,8,5,0,1,0,1,29006
5940185,99,2,3,2,1,1,1,0,0,63301
6170773,99,2,3,3,1,0,2,1,0,55408
6365661,5,1,2,11,7,0,1,1,0,06516
6396922,2,2,2,11,4,0,1,1,0,48025
6397219,4,2,3,9,6,1,1,1,1,48458
6403766,2,3,2,9,6,0,1,1,0,38401
6508257,5,4,4,7,7,1,1,1,0,92591
6564839,2,3,3,11,3,1,1,0,0,24609
6628165,3,4,5,11,5,1,2,1,1,90640
6629958,1,2,3,9,6,0,1,1,0,50626
6630354,2,3,3,8,6,0,2,1,0,20774
6630621,0,4,1,2,5,0,5,1,1,91030
6630876,5,3,2,11,5,0,1,1,0,28450
6631205,5,4,5,7,5,1,1,1,0,95223
6631423,3,3,5,7,7,1,1,0,1,71665
6647616,2,2,2,10,2,0,1,1,0,60411
6831314,1,3,4,7,7,1,1,1,1,32708
6874304,2,2,5,11,5,1,1,1,1,48423
7196925,99,3,1,5,1,0,2,1,1,28039
7264754,99,1,2,10,7,0,1,0,0,06096
7281237,5,2,4,6,7,1,1,1,0,61455
7412556,5,4,5,11,7,0,1,1,1,80209
7455019,4,3,2,10,7,0,1,1,1,33029
7670751,1,3,3,4,5,1,1,0,0,38478
7672607,2,4,4,8,4,1,1,1,0,92592
7771005,2,2,3,9,6,0,1,1,0,46060
7852618,99,2,5,6,2,1,1,0,0,45133
7887663,99,3,2,9,3,0,1,1,1,78759
7984518,1,4,5,10,3,1,5,0,0,97624
8085533,2,3,2,9,1,0,1,1,1,32405
8254570,99,3,2,8,4,0,1,0,0,74155
8449067,99,1,3,9,5,0,1,0,0,18054
8493246,99,4,1,11,6,0,1,0,0,98665
8502136,99,3,5,9,4,1,2,1,0,33603
8550642,5,1,3,10,4,1,2,0,0,16226
8605255,5,3,5,9,3,1,5,0,1,33510
8631774,99,3,4,4,5,1,1,1,0,77447
8641270,99,2,4,9,5,1,1,0,0,48146
8841667,5,2,2,9,4,0,1,1,0,50583
8842407,1,2,1,2,7,0,1,0,0,44106
8929670,4,3,3,4,5,1,1,1,0,34293
8938318,99,2,3,10,3,0,1,1,1,44502
9134847,1,3,2,11,3,0,1,1,0,76691
9137558,99,2,2,4,2,0,1,0,0,47408
9321713,2,4,3,9,7,0,2,1,0,94585
9363405,2,3,3,2,3,0,2,1,0,19904
9418092,99,3,2,8,5,0,1,1,0,77707
9552099,5,2,2,5,7,0,1,1,0,53185
9555156,1,3,2,8,5,0,1,1,0,79703
9556851,99,3,5,6,5,1,1,0,1,72601
9556856,99,4,2,8,6,0,1,1,1,85220
9560610,99,2,4,7,1,1,1,1,0,54915
9560856,99,1,5,6,5,1,1,1,1,14094
